# Mamba packages
# packages in environment at /home/znmeb/mambaforge/envs/acs-1:
#
# Name                    Version                   Build  Channel
r-survival                3.5_7             r42h25e906a_0    conda-forge
r-sys                     3.4.2             r42h25e906a_1    conda-forge
r-systemfonts             1.0.4             r42he1fe685_2    conda-forge
r-testthat                3.1.10            r42h93f32a7_0    conda-forge
r-textshaping             0.3.6             r42h09d6c55_7    conda-forge
r-tibble                  3.2.1             r42h25e906a_2    conda-forge
r-tidyr                   1.3.0             r42h93f32a7_1    conda-forge
r-tidyselect              1.2.0             r42h4571c7f_1    conda-forge
r-tidyverse               2.0.0             r42h785f33e_1    conda-forge
r-timechange              0.2.0             r42h93f32a7_1    conda-forge
r-tinytex                 0.46              r42hc72bb7e_0    conda-forge
r-tzdb                    0.4.0             r42h93f32a7_1    conda-forge
r-urlchecker              1.0.1             r42hc72bb7e_2    conda-forge
r-usethis                 2.2.2             r42hc72bb7e_0    conda-forge
r-utf8                    1.2.3             r42h25e906a_1    conda-forge
r-uuid                    1.1_1             r42h25e906a_0    conda-forge
r-vctrs                   0.6.3             r42h93f32a7_0    conda-forge
r-viridislite             0.4.2             r42hc72bb7e_1    conda-forge
r-vroom                   1.6.3             r42h93f32a7_1    conda-forge
r-waldo                   0.5.1             r42hc72bb7e_1    conda-forge
r-whisker                 0.4.1             r42hc72bb7e_1    conda-forge
r-withr                   2.5.1             r42hc72bb7e_0    conda-forge
r-xfun                    0.40              r42h93f32a7_0    conda-forge
r-xml2                    1.3.5             r42h9ff23c6_0    conda-forge
r-xopen                   1.0.0           r42hc72bb7e_1005    conda-forge
r-xtable                  1.8_4             r42hc72bb7e_5    conda-forge
r-yaml                    2.3.7             r42h25e906a_1    conda-forge
r-zip                     2.3.0             r42h25e906a_1    conda-forge
readline                  8.2                  h8fc344f_1    conda-forge
referencing               0.30.2             pyhd8ed1ab_0    conda-forge
requests                  2.31.0             pyhd8ed1ab_0    conda-forge
rfc3339-validator         0.1.4              pyhd8ed1ab_0    conda-forge
rfc3986-validator         0.1.1              pyh9f0ad1d_0    conda-forge
rhash                     1.4.4                h31becfc_0    conda-forge
rpds-py                   0.10.3           py38hf532af8_0    conda-forge
scikit-build              0.17.6             pyh4af843d_0    conda-forge
scikit-learn              1.3.1            py38h1dc1d80_0    conda-forge
scipy                     1.10.1           py38he3f4005_3    conda-forge
sed                       4.8                  ha0d5d3d_0    conda-forge
send2trash                1.8.2              pyh41d4057_0    conda-forge
setuptools                68.2.2             pyhd8ed1ab_0    conda-forge
six                       1.16.0             pyh6c4a22f_0    conda-forge
sniffio                   1.3.0              pyhd8ed1ab_0    conda-forge
soupsieve                 2.5                pyhd8ed1ab_1    conda-forge
stack_data                0.6.2              pyhd8ed1ab_0    conda-forge
svt-av1                   1.7.0                h2f0025b_0    conda-forge
sympy                     1.12            pypyh9d50eac_103    conda-forge
sysroot_linux-aarch64     2.17                h5b4a56d_13    conda-forge
terminado                 0.17.1             pyh41d4057_0    conda-forge
threadpoolctl             3.2.0              pyha21a80b_0    conda-forge
tinycss2                  1.2.1              pyhd8ed1ab_0    conda-forge
tk                        8.6.13               h194ca79_0    conda-forge
tktable                   2.10                 h4f9ca69_5    conda-forge
tomli                     2.0.1              pyhd8ed1ab_0    conda-forge
torch                     2.0.0+nv23.5             pypi_0    pypi
torchaudio                2.0.1+3b40834             dev_0    <develop>
tornado                   6.3.3            py38hea3b116_1    conda-forge
traitlets                 5.10.1             pyhd8ed1ab_0    conda-forge
typing-extensions         4.8.0                hd8ed1ab_0    conda-forge
typing_extensions         4.8.0              pyha770c72_0    conda-forge
typing_utils              0.1.0              pyhd8ed1ab_0    conda-forge
unicodedata2              15.0.0           py38h9579f32_1    conda-forge
uri-template              1.3.0              pyhd8ed1ab_0    conda-forge
urllib3                   2.0.5              pyhd8ed1ab_0    conda-forge
wcwidth                   0.2.6              pyhd8ed1ab_0    conda-forge
webcolors                 1.13               pyhd8ed1ab_0    conda-forge
webencodings              0.5.1              pyhd8ed1ab_2    conda-forge
websocket-client          1.6.3              pyhd8ed1ab_0    conda-forge
